name,indicator,year,type,value
09009140100,annual crime rate per 1000,2013-2015,violent,14.85714285714286
09009140200,annual crime rate per 1000,2013-2015,violent,25.80800771828268
09009140300,annual crime rate per 1000,2013-2015,violent,22.041369955917258
09009140400,annual crime rate per 1000,2013-2015,violent,9.821203727020901
09009140500,annual crime rate per 1000,2013-2015,violent,13.763335776529033
09009140600,annual crime rate per 1000,2013-2015,violent,14.024713820028808
09009140700,annual crime rate per 1000,2013-2015,violent,20.94508301404853
09009140800,annual crime rate per 1000,2013-2015,violent,11.86868686868687
09009140900,annual crime rate per 1000,2013-2015,violent,15.460030165912519
09009141000,annual crime rate per 1000,2013-2015,violent,1.8972201600263963
09009141100,annual crime rate per 1000,2013-2015,violent,1.3163223977318752
09009141200,annual crime rate per 1000,2013-2015,violent,10.707829230983174
09009141300,annual crime rate per 1000,2013-2015,violent,5.8711520152332595
09009141400,annual crime rate per 1000,2013-2015,violent,5.088008800880089
09009141500,annual crime rate per 1000,2013-2015,violent,15.790418087206172
09009141600,annual crime rate per 1000,2013-2015,violent,14.63182251259017
09009141800,annual crime rate per 1000,2013-2015,violent,4.845199967151187
09009141900,annual crime rate per 1000,2013-2015,violent,2.6159178601791906
09009142000,annual crime rate per 1000,2013-2015,violent,3.430899538972874
09009142100,annual crime rate per 1000,2013-2015,violent,13.850415512465373
09009142200,annual crime rate per 1000,2013-2015,violent,21.078735275883446
09009142300,annual crime rate per 1000,2013-2015,violent,16.14664138366948
09009142400,annual crime rate per 1000,2013-2015,violent,11.358524516419253
09009142500,annual crime rate per 1000,2013-2015,violent,10.217113665389528
09009142601,annual crime rate per 1000,2013-2015,violent,6.455298486146815
09009142603,annual crime rate per 1000,2013-2015,violent,4.780424566520823
09009142604,annual crime rate per 1000,2013-2015,violent,5.149662053427743
09009142700,annual crime rate per 1000,2013-2015,violent,4.5478865703584805
09009142800,annual crime rate per 1000,2013-2015,violent,0.7457121551081283
09009361401,annual crime rate per 1000,2013-2015,violent,8.736008736008737
09009361402,annual crime rate per 1000,2013-2015,violent,4.143814747105424
09009140100,annual crime rate per 1000,2013-2015,property,113.52380952380952
09009140200,annual crime rate per 1000,2013-2015,property,107.33236854799806
09009140300,annual crime rate per 1000,2013-2015,property,57.194529218944275
09009140400,annual crime rate per 1000,2013-2015,property,31.22639133719466
09009140500,annual crime rate per 1000,2013-2015,property,40.71992833292614
09009140600,annual crime rate per 1000,2013-2015,property,38.35948752937609
09009140700,annual crime rate per 1000,2013-2015,property,68.53980417198808
09009140800,annual crime rate per 1000,2013-2015,property,43.0976430976431
09009140900,annual crime rate per 1000,2013-2015,property,62.51885369532428
09009141000,annual crime rate per 1000,2013-2015,property,29.53064422997608
09009141100,annual crime rate per 1000,2013-2015,property,16.808424463345485
09009141200,annual crime rate per 1000,2013-2015,property,56.32040050062579
09009141300,annual crime rate per 1000,2013-2015,property,23.061461969745054
09009141400,annual crime rate per 1000,2013-2015,property,28.946644664466447
09009141500,annual crime rate per 1000,2013-2015,property,43.48346192954124
09009141600,annual crime rate per 1000,2013-2015,property,59.07172995780591
09009141800,annual crime rate per 1000,2013-2015,property,29.974542169664122
09009141900,annual crime rate per 1000,2013-2015,property,46.89032764371199
09009142000,annual crime rate per 1000,2013-2015,property,57.14592044601694
09009142100,annual crime rate per 1000,2013-2015,property,64.81994459833795
09009142200,annual crime rate per 1000,2013-2015,property,90.92787766067369
09009142300,annual crime rate per 1000,2013-2015,property,36.31557777394702
09009142400,annual crime rate per 1000,2013-2015,property,33.00719748088169
09009142500,annual crime rate per 1000,2013-2015,property,34.323116219667945
09009142601,annual crime rate per 1000,2013-2015,property,74.26449585832619
09009142603,annual crime rate per 1000,2013-2015,property,27.872305947172254
09009142604,annual crime rate per 1000,2013-2015,property,25.74831026713872
09009142700,annual crime rate per 1000,2013-2015,property,29.90904226859283
09009142800,annual crime rate per 1000,2013-2015,property,16.812419496983257
09009361401,annual crime rate per 1000,2013-2015,property,66.24806624806625
09009361402,annual crime rate per 1000,2013-2015,property,39.24436319317489
