name,indicator,year,type,value
NHPS,total graduation by location,2012,All,0.7090000000000001
CT,total graduation by location,2012,All,0.848
NHPS,total graduation by location,2013,All,0.7140000000000001
CT,total graduation by location,2013,All,0.855
NHPS,total graduation by location,2014,All,0.755
CT,total graduation by location,2014,All,0.87
NHPS,total graduation by location,2015,All,0.7509999999999999
CT,total graduation by location,2015,All,0.872
NHPS,total graduation by location,2016,All,0.775
CT,total graduation by location,2016,All,0.8740000000000001
NHPS,nhps graduation by race,2012,Black,0.701
NHPS,nhps graduation by race,2012,Hispanic,0.643
NHPS,nhps graduation by race,2012,White,0.856
NHPS,nhps graduation by race,2012,All,0.7090000000000001
NHPS,nhps graduation by race,2013,Black,0.72
NHPS,nhps graduation by race,2013,Hispanic,0.624
NHPS,nhps graduation by race,2013,White,0.831
NHPS,nhps graduation by race,2013,All,0.7140000000000001
NHPS,nhps graduation by race,2014,Black,0.763
NHPS,nhps graduation by race,2014,Hispanic,0.687
NHPS,nhps graduation by race,2014,White,0.851
NHPS,nhps graduation by race,2014,All,0.755
NHPS,nhps graduation by race,2015,Black,0.769
NHPS,nhps graduation by race,2015,Hispanic,0.6609999999999999
NHPS,nhps graduation by race,2015,White,0.856
NHPS,nhps graduation by race,2015,All,0.7509999999999999
NHPS,nhps graduation by race,2016,Black,0.79
NHPS,nhps graduation by race,2016,Hispanic,0.722
NHPS,nhps graduation by race,2016,White,0.838
NHPS,nhps graduation by race,2016,All,0.775
